Field;x%;y%;w%;h%;align;fontMinPt;fontMaxPt;bold
Credits;0.0322857142857143;0.953011363636364;0.935412698412698;0.0336704545454545;center;5;5;false
Lore;0.0307142857142857;0.875693181818182;0.937793650793651;0.078875;center;9;9;false
Art;0.0314920634920635;0.268068181818182;0.937015873015873;0.360590909090909;center;9;11;false
Name;0.0314920634920635;0.0233295454545455;0.781111111111111;0.0791136363636364;center;11;11;true
Type;0.0314920634920635;0.101318181818182;0.935428571428571;0.0610340909090909;center;11;11;false
Description;0.0314920634920635;0.161215909090909;0.935428571428571;0.107534090909091;center;10;10;false
Opt1;0.0307142857142857;0.627522727272727;0.937793650793651;0.126034090909091;center;10;10;false
Opt2;0.0307142857142857;0.751602272727273;0.937793650793651;0.126034090909091;center;10;10;false
